"Last updated May 5, 2020",,,,,,,,,
Table 1. U.S. International Trade in Goods and Services,,,,,,,,,
"Exports, Imports, and Balances",,,,,,,,,
1990,-80865,-111037,30173,535234,387401,147833,616098,498438,117660
1991,-31136,-76937,45802,578343,414083,164260,609479,491020,118459
1992,-39212,-96897,57685,616882,439631,177251,656094,536528,119566
1993,-70311,-132451,62141,642863,456943,185920,713174,589394,123780
1994,-98493,-165831,67338,703254,502859,200395,801747,668690,133057
1995,-96384,-174170,77786,794387,575204,219183,890771,749374,141397
1996,-104065,-191000,86935,851602,612113,239489,955667,803113,152554
1997,-108273,-198428,90155,934453,678366,256087,1042726,876794,165932
1998,-166140,-248221,82081,933174,670416,262758,1099314,918637,180677
1999,-258617,-337068,78450,969867,698524,271343,1228485,1035592,192893
2000,-372517,-446783,74266,1075321,784940,290381,1447837,1231722,216115
2001,-361511,-422370,60858,1005654,731331,274323,1367165,1153701,213465
2002,-418955,-475245,56290,978706,698036,280670,1397660,1173281,224379
2003,-493890,-541643,47754,1020418,730446,289972,1514308,1272089,242219
2004,-609883,-664766,54882,1161549,823584,337966,1771433,1488349,283083
2005,-714245,-782804,68558,1286022,913016,373006,2000267,1695820,304448
2006,-761716,-837289,75573,1457642,1040905,416738,2219358,1878194,341165
2007,-705375,-821196,115821,1653548,1165151,488396,2358922,1986347,372575
2008,-708726,-832492,123765,1841612,1308795,532817,2550339,2141287,409052
2009,-383774,-509694,125920,1583053,1070331,512722,1966827,1580025,386801
2010,-495225,-648671,153446,1853038,1290279,562759,2348263,1938950,409313
2011,-549699,-740999,191300,2125947,1498887,627061,2675646,2239886,435761
2012,-537408,-741119,203711,2218354,1562630,655724,2755762,2303749,452013
2013,-461135,-700539,239404,2294199,1593708,700491,2755334,2294247,461087
2014,-489584,-749917,260333,2376657,1635563,741094,2866241,2385480,480761
2015,-498525,-761868,263343,2266691,1511381,755310,2765216,2273249,491966
2016,-502982,-749801,246819,2215839,1457393,758446,2718821,2207195,511627
2017,-550123,-805200,255077,2352546,1553589,798957,2902669,2358789,543880
2018,-627679,-887338,259659,2501310,1674330,826980,3128989,2561667,567322
2019,-616425,-866244,249819,2498034,1652806,845228,3114459,2519049,595409
Monthly,,,,,,,,,
1992Jan,-2026,-6952,4926,50251,35498,14753,52277,42450,9827
1992Feb,-831,-5593,4762,51682,36854,14828,52513,42447,10066
1992Mar,-2641,-7355,4714,50294,35711,14583,52935,43066,9869
1992Apr,-3109,-8284,5175,50302,35439,14863,53411,43723,9688
1992May,-3919,-8720,4801,50044,35403,14641,53963,44123,9840
1992Jun,-2824,-7538,4714,51727,37099,14628,54551,44637,9914
1992Jul,-2781,-7433,4652,52533,37753,14780,55313,45185,10128
1992Aug,-4455,-9317,4862,50940,36051,14889,55395,45368,10027
1992Sep,-3530,-8451,4921,51984,37043,14941,55515,45495,10020
1992Oct,-3520,-8354,4834,53035,37997,15038,56556,46352,10204
1992Nov,-3968,-8714,4746,52246,37519,14727,56214,46233,9981
1992Dec,-5603,-10185,4582,51843,37264,14579,57446,47449,9997
1993Jan,-3871,-9001,5130,52568,37411,15157,56439,46412,10027
1993Feb,-3596,-9167,5571,52480,37002,15478,56076,46169,9907
1993Mar,-6777,-12064,5287,53035,37686,15349,59813,49751,10062
1993Apr,-6445,-11674,5229,53139,37589,15550,59584,49263,10321
1993May,-4369,-9682,5313,54229,38821,15408,58598,48503,10095
1993Jun,-6929,-12187,5258,52346,36847,15499,59275,49034,10241
1993Jul,-6382,-11681,5299,52818,37215,15603,59200,48896,10304
1993Aug,-5581,-11020,5439,53224,37561,15663,58805,48581,10224
1993Sep,-7031,-12080,5049,53648,38206,15442,60679,50286,10393
1993Oct,-6594,-11775,5181,55476,39511,15965,62069,51285,10784
1993Nov,-7016,-11447,4431,54345,39254,15091,61361,50701,10660
1993Dec,-5719,-10673,4954,55552,39841,15711,61271,50514,10757
1994Jan,-6207,-11043,4836,55159,39721,15438,61365,50763,10602
1994Feb,-9245,-14038,4793,53729,37850,15879,62974,51888,11086
1994Mar,-6466,-12390,5924,58307,41262,17045,64772,53651,11121
1994Apr,-7887,-13408,5521,56436,39987,16449,64323,53395,10928
1994May,-7728,-13301,5573,57342,40747,16595,65070,54048,11022
1994Jun,-8380,-14241,5861,58451,41517,16934,66831,55758,11073
1994Jul,-8739,-14633,5894,58492,41475,17017,67230,56107,11123
1994Aug,-8303,-13960,5657,60407,43522,16885,68710,57482,11228
1994Sep,-8310,-13801,5491,60715,43950,16765,69026,57752,11274
1994Oct,-9158,-14788,5630,59861,43087,16774,69019,57875,11144
1994Nov,-9615,-15643,6028,61532,44280,17252,71147,59923,11224
1994Dec,-8456,-14586,6130,62825,45461,17364,71281,60047,11234
1995Jan,-9324,-15562,6238,63118,45458,17660,72442,61020,11422
1995Feb,-8817,-14487,5670,63077,46031,17046,71894,60518,11376
1995Mar,-9708,-15547,5839,64349,46882,17467,74057,62429,11628
1995Apr,-9609,-15901,6292,65074,47165,17909,74682,63065,11617
1995May,-9090,-15420,6330,65755,47742,18013,74845,63162,11683
1995Jun,-10623,-16068,5445,64855,47614,17241,75478,63682,11796
1995Jul,-7688,-14448,6760,66560,47985,18575,74247,62432,11815
1995Aug,-6704,-13515,6811,67469,48770,18699,74173,62285,11888
1995Sep,-5924,-13187,7263,68943,49781,19162,74867,62968,11899
1995Oct,-6114,-12861,6747,68105,49272,18833,74219,62133,12086
1995Nov,-6514,-13597,7083,68009,48852,19157,74523,62449,12074
1995Dec,-6271,-13577,7306,69071,49653,19418,75342,63230,12112
1996Jan,-8465,-15007,6542,68299,49554,18745,76764,64561,12203
1996Feb,-7319,-13764,6445,69899,50973,18926,77217,64736,12481
1996Mar,-7756,-15122,7366,69797,50026,19771,77553,65148,12405
1996Apr,-8744,-15597,6853,70126,50797,19329,78870,66394,12476
1996May,-9259,-16668,7409,71029,50914,20115,80288,67582,12706
1996Jun,-7460,-14944,7484,71056,51150,19906,78516,66094,12422
1996Jul,-10132,-16397,6265,69404,50030,19374,79536,66427,13109
1996Aug,-10357,-17097,6740,70563,50877,19686,80919,67973,12946
1996Sep,-10195,-17018,6823,70553,50949,19604,80748,67967,12781
1996Oct,-6635,-15070,8435,73769,52306,21463,80404,67376,13028
1996Nov,-7268,-15814,8546,74263,52698,21565,81531,68512,13019
1996Dec,-10475,-18502,8027,72842,51840,21002,83317,70342,12975
1997Jan,-11269,-18455,7186,72910,52260,20650,84179,70715,13464
1997Feb,-9776,-17036,7260,75225,54470,20755,85001,71506,13495
1997Mar,-8383,-16048,7665,77050,55940,21110,85433,71988,13445
1997Apr,-8086,-15778,7692,77769,56621,21148,85855,72399,13456
1997May,-8394,-16248,7854,77883,56386,21497,86277,72634,13643
1997Jun,-7154,-15021,7867,78889,57242,21647,86043,72263,13780
1997Jul,-7033,-14718,7685,80099,58545,21554,87132,73263,13869
1997Aug,-8743,-16505,7762,78622,56895,21727,87365,73400,13965
1997Sep,-9269,-16597,7328,79287,57714,21573,88556,74311,14245
1997Oct,-9089,-16820,7731,79383,57655,21728,88472,74475,13997
1997Nov,-9786,-16854,7068,78300,56982,21318,88086,73836,14250
1997Dec,-11289,-18350,7061,79038,57654,21384,90327,76004,14323
1998Jan,-10776,-18016,7240,79008,57500,21508,89784,75516,14268
1998Feb,-11564,-18302,6738,77931,56627,21304,89495,74929,14566
1998Mar,-12880,-20288,7408,78812,56934,21878,91692,77222,14470
1998Apr,-13940,-21488,7548,77626,55229,22397,91566,76717,14849
1998May,-14202,-21493,7291,77147,55073,22074,91349,76566,14783
1998Jun,-13247,-19957,6710,76961,55257,21704,90208,75214,14994
1998Jul,-13949,-20316,6367,76149,54618,21531,90098,74934,15164
1998Aug,-16028,-22389,6361,75512,53945,21567,91540,76334,15206
1998Sep,-14820,-21096,6276,77179,55490,21689,91999,76586,15413
1998Oct,-14815,-21414,6599,79351,56962,22389,94166,78376,15790
1998Nov,-15173,-21752,6579,79117,56949,22168,94290,78701,15589
1998Dec,-14745,-21709,6964,78382,55833,22549,93127,77542,15585
1999Jan,-15946,-22369,6423,78033,56296,21737,93980,78666,15314
1999Feb,-18786,-25149,6363,77635,55673,21962,96421,80822,15599
1999Mar,-17900,-24437,6536,78449,56017,22432,96350,80454,15896
1999Apr,-18254,-24547,6294,78872,56909,21963,97125,81456,15669
1999May,-20229,-26694,6465,78939,56749,22190,99168,83443,15724
1999Jun,-23115,-29752,6637,79234,56692,22542,102349,86443,15905
1999Jul,-23421,-30154,6734,80449,57526,22924,103870,87680,16190
1999Aug,-22977,-29673,6695,81943,58955,22988,104920,88628,16292
1999Sep,-22899,-29694,6794,83163,59944,23219,106063,89638,16425
1999Oct,-23531,-30202,6671,83565,60298,23267,107096,90500,16596
1999Nov,-25224,-31823,6599,84441,60859,23583,109665,92682,16983
1999Dec,-26337,-32574,6237,85142,62607,22535,111479,95180,16298
2000Jan,-27088,-33360,6272,85646,62502,23144,112733,95862,16872
2000Feb,-29930,-36214,6284,86142,62442,23699,116071,98656,17415
2000Mar,-31154,-37326,6172,87368,63556,23813,118523,100882,17640
2000Apr,-28800,-35671,6871,88855,64292,24563,117655,99963,17692
2000May,-29813,-35883,6070,88017,64016,24001,117830,99899,17930
2000Jun,-30966,-37265,6299,90771,66361,24410,121737,103626,18111
2000Jul,-31426,-37527,6101,90421,66035,24387,121848,103562,18286
2000Aug,-30035,-36037,6002,92424,67915,24509,122459,103952,18506
2000Sep,-34018,-39188,5170,92347,67856,24491,126365,107044,19321
2000Oct,-33224,-39522,6299,91511,67058,24453,124734,106580,18154
2000Nov,-32607,-38855,6248,91388,66885,24504,123996,105740,18256
2000Dec,-33454,-39933,6479,90431,66023,24409,123885,105956,17930
2001Jan,-34817,-40753,5936,90331,65979,24352,125148,106733,18416
2001Feb,-29349,-35305,5956,90181,66272,23909,119530,101577,17953
2001Mar,-32732,-38540,5808,88454,64525,23928,121186,103066,18120
2001Apr,-31217,-36105,4888,86748,63262,23486,117966,99367,18599
2001May,-27446,-32630,5185,87256,63881,23375,114702,96512,18190
2001Jun,-29140,-34830,5690,85035,61362,23673,114175,96192,17983
2001Jul,-30081,-35176,5095,82833,59412,23421,112914,94588,18326
2001Aug,-28171,-33391,5220,83787,60011,23776,111958,93402,18556
2001Sep,-31141,-35338,4197,77367,56531,20836,108508,91869,16639
2001Oct,-30839,-35084,4244,77883,57087,20795,108722,92171,16551
2001Nov,-29737,-33997,4260,77999,56825,21174,107735,90822,16914
2001Dec,-26839,-31221,4382,77780,56181,21598,104618,87402,17216
2002Jan,-29355,-33806,4451,78920,56439,22482,108275,90245,18030
2002Feb,-32287,-36219,3932,78880,56133,22747,111167,92352,18816
2002Mar,-30825,-36101,5276,79601,56224,23377,110425,92325,18101
2002Apr,-33666,-38648,4983,81551,58365,23186,115217,97013,18204
2002May,-33921,-39212,5291,81724,58224,23499,115645,97436,18208
2002Jun,-34900,-39676,4777,82741,59245,23496,117641,98922,18719
2002Jul,-33650,-38692,5042,83036,59580,23456,116686,98271,18415
2002Aug,-35743,-41136,5393,83422,59623,23799,119165,100759,18406
2002Sep,-36519,-41176,4656,82744,59249,23495,119263,100425,18839
2002Oct,-35171,-39488,4317,82028,58437,23591,117199,97925,19274
2002Nov,-39624,-43800,4177,83041,59307,23733,122665,103108,19557
2002Dec,-43294,-47290,3996,81017,57211,23806,124311,104501,19810
2003Jan,-40740,-44682,3942,82110,58689,23421,122850,103371,19480
2003Feb,-39363,-43453,4090,82779,59386,23393,122142,102840,19303
2003Mar,-43355,-47085,3731,82580,59474,23106,125935,106559,19376
2003Apr,-41987,-45665,3678,81429,58792,22638,123417,104457,18959
2003May,-40779,-45108,4329,82172,58811,23361,122951,103919,19032
2003Jun,-39621,-43896,4275,84632,60936,23696,124253,104832,19420
2003Jul,-41363,-44942,3579,85373,61205,24168,126735,106147,20589
2003Aug,-39802,-43611,3809,84247,59730,24517,124049,103341,20708
2003Sep,-41706,-45611,3905,86224,61406,24819,127930,107017,20913
2003Oct,-41271,-45370,4099,88195,62858,25337,129466,108228,21238
2003Nov,-39841,-44024,4182,90513,64991,25522,130355,109015,21340
2003Dec,-44064,-48196,4132,90164,64169,25996,134228,112364,21863
2004Jan,-44352,-48867,4515,90056,63243,26813,134408,112110,22298
2004Feb,-44322,-49027,4704,93882,66443,27439,138204,115470,22735
2004Mar,-46484,-51543,5059,96519,68474,28045,143003,120017,22986
2004Apr,-47479,-52183,4704,95754,67810,27943,143232,119993,23240
2004May,-48169,-52560,4391,97259,69480,27780,145428,122040,23389
2004Jun,-54702,-58940,4238,94853,67025,27828,149555,125965,23590
2004Jul,-51293,-56104,4812,96474,68510,27965,147767,124614,23153
2004Aug,-53316,-56935,3618,96909,68980,27929,150225,125914,24311
2004Sep,-51489,-55895,4407,98277,70139,28137,149765,126035,23731
2004Oct,-54961,-59561,4600,99773,70934,28839,154734,130495,24239
2004Nov,-58819,-63496,4677,99533,70148,29385,158352,133644,24709
2004Dec,-54500,-59655,5155,102259,72398,29861,156760,132053,24707
2005Jan,-55561,-61181,5620,103059,72679,30380,158620,133860,24760
2005Feb,-57454,-63446,5992,103867,73198,30669,161321,136644,24677
2005Mar,-52619,-58949,6330,104805,73719,31087,157424,132668,24756
2005Apr,-57115,-62621,5505,106865,76407,30458,163980,139028,24953
2005May,-56264,-61685,5422,106231,75785,30446,162495,137471,25024
2005Jun,-58260,-63601,5341,106314,75759,30554,164574,139360,25214
2005Jul,-58063,-63343,5280,106679,75955,30724,164742,139298,25444
2005Aug,-58388,-63929,5541,107997,77129,30868,166385,141058,25327
2005Sep,-64923,-70530,5606,106885,75332,31553,171808,145862,25947
2005Oct,-67140,-73179,6039,109388,77433,31955,176528,150612,25916
2005Nov,-64090,-69822,5731,110656,78840,31816,174746,148662,26084
2005Dec,-64366,-70516,6150,113277,80780,32497,177643,151296,26347
2006Jan,-66680,-72871,6190,115061,81984,33077,181741,154855,26886
2006Feb,-62851,-67493,4642,115652,82943,32709,178503,150436,28067
2006Mar,-62574,-68017,5443,118272,84745,33527,180846,152762,28083
2006Apr,-62844,-68707,5864,118672,84593,34079,181516,153300,28216
2006May,-64844,-71283,6439,120599,85841,34759,185444,157124,28320
2006Jun,-63481,-69728,6248,122053,87739,34315,185534,157467,28067
2006Jul,-66525,-72687,6162,119803,85676,34128,186328,158363,27965
2006Aug,-67823,-74214,6391,122321,87953,34368,190144,162167,27977
2006Sep,-64936,-71279,6343,123562,88736,34826,188497,160014,28483
2006Oct,-58990,-65954,6963,125646,89373,36273,184636,155327,29309
2006Nov,-58575,-65796,7220,127445,90348,37097,186020,156144,29876
2006Dec,-61592,-69259,7668,128557,90975,37582,190149,160234,29915
2007Jan,-57656,-65776,8120,130079,92195,37884,187734,157970,29764
2007Feb,-58478,-66380,7901,128399,90572,37828,186877,156951,29926
2007Mar,-61797,-70644,8847,133133,94037,39096,194930,164681,30248
2007Apr,-60514,-68670,8156,132458,93672,38786,192972,162341,30630
2007May,-59288,-67895,8607,135183,95704,39479,194470,163599,30871
2007Jun,-59520,-68735,9215,136594,96544,40050,196114,165280,30834
2007Jul,-59914,-69198,9283,137564,97079,40485,197478,166277,31201
2007Aug,-57005,-67060,10056,140485,98850,41635,197490,165910,31579
2007Sep,-57794,-67714,9920,141276,99722,41554,199070,167436,31635
2007Oct,-56538,-68299,11762,144737,101170,43566,201274,169470,31805
2007Nov,-59717,-71741,12023,146373,102239,44134,206090,173980,32110
2007Dec,-57154,-69084,11931,147269,103367,43901,204422,172452,31970
2008Jan,-61139,-71650,10511,150167,106639,43528,211306,178289,33017
2008Feb,-64348,-74110,9762,152433,109141,43292,216781,183250,33530
2008Mar,-60064,-70917,10853,152089,107934,44155,212154,178852,33302
2008Apr,-63528,-74315,10787,156756,112208,44549,220284,186523,33762
2008May,-62151,-73868,11716,158799,112971,45828,220950,186839,34111
2008Jun,-60670,-72286,11616,163609,117785,45824,224279,190071,34208
2008Jul,-66842,-77628,10786,165379,120156,45222,232221,197785,34436
2008Aug,-62108,-71541,9433,162658,117826,44833,224766,189366,35399
2008Sep,-60499,-70455,9956,153586,109228,44358,214086,179683,34403
2008Oct,-60191,-70138,9948,151364,106639,44725,211555,176777,34777
2008Nov,-44724,-53601,8877,142400,99102,43298,187123,152703,34421
2008Dec,-42463,-51983,9521,132372,89166,43206,174835,141149,33685
2009Jan,-37842,-47164,9323,125294,83705,41588,163136,130870,32266
2009Feb,-27767,-37359,9591,127342,86043,41298,155109,123402,31707
2009Mar,-29162,-38976,9813,125998,84462,41537,155161,123437,31723
2009Apr,-29705,-39544,9839,124390,82580,41810,154095,122124,31971
2009May,-25372,-35595,10223,126221,84534,41687,151593,120129,31464
2009Jun,-26367,-36844,10477,128891,86944,41947,155258,123788,31470
2009Jul,-32790,-42838,10048,130848,88738,42110,163637,131576,32062
2009Aug,-31267,-41816,10549,131438,88800,42638,162705,130616,32089
2009Sep,-34491,-45296,10805,136142,92743,43398,170632,138039,32594
2009Oct,-33826,-45350,11524,140401,95836,44565,174228,141186,33041
2009Nov,-37203,-49072,11869,141370,96260,45111,178573,145332,33242
2009Dec,-37983,-49840,11857,144718,99687,45031,182700,149527,33174
2010Jan,-37302,-49076,11774,143865,99243,44622,181167,148319,32848
2010Feb,-41116,-52020,10904,144977,100546,44431,186093,152565,33527
2010Mar,-39848,-51549,11701,149179,104490,44689,189028,156040,32988
2010Apr,-40817,-52440,11623,147847,103405,44442,188664,155845,32819
2010May,-41347,-53595,12248,152487,106546,45941,193834,160141,33693
2010Jun,-46644,-59092,12448,151982,105364,46619,198626,164456,34171
2010Jul,-40670,-53416,12746,155177,108197,46980,195847,161613,34235
2010Aug,-45011,-58128,13116,155925,108331,47594,200937,166459,34478
2010Sep,-43876,-57297,13421,157062,108638,48424,200937,165935,35002
2010Oct,-39737,-53715,13978,162990,113684,49306,202727,167399,35328
2010Nov,-37842,-52385,14542,164337,114639,49698,202180,167024,35155
2010Dec,-41015,-55958,14944,167208,117196,50012,208223,173155,35068
2011Jan,-47352,-62609,15257,168703,118562,50140,216055,181172,34883
2011Feb,-44068,-59702,15634,167087,117018,50069,211155,176720,34435
2011Mar,-43621,-59755,16134,175230,124039,51191,218851,183794,35057
2011Apr,-42173,-57812,15638,177511,125834,51677,219684,183646,36038
2011May,-47163,-63078,15915,177507,125030,52477,224671,188108,36562
2011Jun,-49505,-65598,16094,175539,122625,52913,225043,188224,36820
2011Jul,-45943,-62067,16124,179867,126453,53414,225810,188519,37291
2011Aug,-44984,-61924,16940,180439,126475,53964,225423,188399,37024
2011Sep,-43744,-59834,16090,181959,128738,53221,225703,188572,37131
2011Oct,-44974,-60867,15893,181671,128747,52924,226645,189614,37031
2011Nov,-46888,-62687,15799,179744,127077,52667,226633,189764,36868
2011Dec,-49283,-65067,15783,180689,128287,52403,229973,193353,36619
2012Jan,-51077,-66735,15658,179978,127345,52633,231056,194081,36975
2012Feb,-43675,-60195,16520,182536,128801,53735,226210,188995,37215
2012Mar,-50088,-66971,16882,186445,132015,54429,236533,198986,37547
2012Apr,-47406,-64077,16672,184879,130538,54340,232284,194615,37669
2012May,-45786,-62589,16803,185254,130724,54530,231041,193313,37728
2012Jun,-43536,-60415,16879,185210,130717,54493,228746,191132,37614
2012Jul,-43570,-59723,16153,184137,130145,53992,227706,189868,37839
2012Aug,-44280,-61109,16829,183092,128352,54740,227372,189461,37911
2012Sep,-40127,-57416,17288,188584,133580,55004,228711,190996,37715
2012Oct,-43032,-60545,17513,182997,127616,55381,226029,188161,37868
2012Nov,-46700,-64668,17968,185714,129697,56017,232414,194364,38049
2012Dec,-38132,-56678,18545,189529,133100,56429,227661,189778,37883
2013Jan,-41288,-60764,19476,188492,131197,57295,229779,191961,37818
2013Feb,-42039,-61750,19711,190946,133289,57656,232985,195039,37946
2013Mar,-35741,-55614,19873,188364,130539,57824,224104,186153,37951
2013Apr,-38714,-58407,19693,189738,131932,57806,228452,190339,38113
2013May,-42687,-62194,19507,188643,130799,57844,231330,192993,38337
2013Jun,-35764,-55548,19784,191473,133359,58114,227236,188907,38330
2013Jul,-37710,-57948,20238,190627,132030,58597,228337,189978,38359
2013Aug,-38253,-58044,19790,190589,132361,58228,228843,190405,38438
2013Sep,-41461,-61635,20174,190646,131743,58903,232107,193379,38729
2013Oct,-37615,-57771,20157,194578,135485,59094,232193,193256,38937
2013Nov,-35158,-55237,20079,195513,136235,59278,230671,191472,39200
2013Dec,-34705,-55627,20922,194590,134737,59852,229294,190364,38930
2014Jan,-38188,-59821,21633,194317,133813,60504,232505,193634,38872
2014Feb,-40463,-61758,21295,193807,132989,60819,234270,194747,39523
2014Mar,-41896,-63738,21842,198450,137312,61138,240346,201050,39296
2014Apr,-44526,-66424,21899,197713,136036,61676,242238,202461,39777
2014May,-40349,-62522,22173,200009,137841,62168,240358,200362,39996
2014Jun,-39722,-61411,21688,199044,137005,62038,238766,198416,40350
2014Jul,-40210,-61785,21575,199359,137619,61740,239569,199403,40165
2014Aug,-37831,-59403,21573,200763,139035,61728,238593,198438,40155
2014Sep,-42186,-63888,21702,198183,136162,62021,240369,200050,40319
2014Oct,-40752,-62424,21672,200157,137767,62390,240909,200191,40718
2014Nov,-40087,-61479,21392,197602,135528,62074,237689,197007,40682
2014Dec,-43374,-65264,21890,197254,134456,62798,240628,199720,40908
2015Jan,-40785,-63163,22378,192013,129192,62821,232798,192355,40443
2015Feb,-35456,-58224,22767,190011,127097,62914,225467,185320,40147
2015Mar,-49502,-71908,22406,191059,127945,63114,240561,199852,40709
2015Apr,-41201,-63473,22272,192106,129247,62859,233307,192719,40587
2015May,-38643,-60914,22271,191581,128625,62956,230224,189538,40686
2015Jun,-42246,-64702,22456,191155,127844,63311,233402,192546,40856
2015Jul,-40810,-62374,21564,190116,127321,62795,230927,189695,41231
2015Aug,-44358,-65888,21530,187361,124438,62923,231718,190326,41393
2015Sep,-42282,-63497,21214,187922,125199,62723,230204,188696,41509
2015Oct,-41253,-62933,21679,186222,123093,63129,227475,186026,41449
2015Nov,-40700,-62143,21443,184157,121224,62933,224858,183367,41491
2015Dec,-41288,-62651,21364,182988,120157,62831,224275,182808,41467
2016Jan,-41957,-62262,20305,179030,116977,62053,220986,179239,41747
2016Feb,-45224,-64661,19437,180488,118901,61587,225712,183562,42150
2016Mar,-38454,-58447,19994,179884,117993,61891,218338,176440,41898
2016Apr,-38922,-59305,20383,182164,119772,62391,221086,179077,42008
2016May,-40372,-61348,20976,183392,120375,63017,223764,181724,42040
2016Jun,-43856,-65414,21558,184470,120787,63683,228325,186201,42125
2016Jul,-41360,-63084,21724,185977,121991,63985,227337,185075,42261
2016Aug,-41681,-62057,20376,188034,123848,64186,229714,185904,43810
2016Sep,-39049,-60375,21326,188707,124538,64169,227757,184913,42844
2016Oct,-42002,-62018,20016,187115,123587,63528,229117,185605,43513
2016Nov,-46631,-66896,20264,185489,121733,63756,232121,188628,43492
2016Dec,-43475,-63935,20460,191089,126890,64198,234564,190825,43738
2017Jan,-46417,-67285,20869,192190,127301,64890,238607,194586,44021
2017Feb,-43103,-64325,21222,192602,127345,65256,235704,191670,44034
2017Mar,-44531,-65585,21054,192314,127034,65280,236844,192619,44226
2017Apr,-47384,-68129,20745,191562,126413,65149,238946,194542,44404
2017May,-46684,-66927,20243,192223,126887,65336,238908,193815,45093
2017Jun,-45609,-66168,20559,194260,128376,65884,239868,194544,45324
2017Jul,-44162,-65188,21027,194747,128228,66519,238908,193416,45492
2017Aug,-43689,-65089,21400,195565,128617,66948,239254,193706,45548
2017Sep,-43571,-65306,21735,198166,130283,67883,241737,195589,46148
2017Oct,-45478,-67262,21784,199315,131100,68215,244792,198362,46431
2017Nov,-49120,-71257,22137,202904,134236,68667,252024,205493,46531
2017Dec,-50376,-72678,22302,206700,137770,68930,257076,210448,46628
2018Jan,-52113,-74858,22745,202575,133614,68961,254689,208472,46216
2018Feb,-53818,-75869,22051,205607,136377,69231,259425,212245,47180
2018Mar,-47177,-69989,22812,209937,140742,69195,257114,210731,46383
2018Apr,-48218,-70292,22074,208883,140364,68519,257102,210657,46445
2018May,-44352,-66670,22318,213341,144552,68789,257692,211222,46471
2018Jun,-47431,-69434,22004,210967,142172,68796,258398,211606,46792
2018Jul,-52442,-74136,21694,208734,139943,68791,261175,214078,47097
2018Aug,-54889,-76496,21607,207758,138857,68901,262647,215353,47294
2018Sep,-56094,-77270,21176,209747,140745,69002,265840,218015,47826
2018Oct,-56692,-77303,20611,210124,141259,68865,266816,218563,48254
2018Nov,-53647,-74110,20463,207976,139124,68852,261623,213234,48389
2018Dec,-60807,-80910,20103,205661,136581,69080,266468,217491,48977
2019Jan,-53817,-73449,19631,206296,137618,68678,260114,211067,49047
2019Feb,-51252,-71355,20103,208475,139247,69228,259727,210602,49125
2019Mar,-52689,-73240,20551,210716,140758,69958,263405,213998,49407
2019Apr,-51304,-72355,21051,206536,136328,70208,257840,208683,49157
2019May,-54835,-76496,21660,211453,140353,71101,266289,216848,49441
2019Jun,-54251,-75667,21416,207485,136536,70949,261736,212203,49533
2019Jul,-53173,-74072,20899,208120,137781,70339,261293,211853,49440
2019Aug,-53927,-74672,20746,208583,138241,70342,262510,212914,49596
2019Sep,-51323,-72154,20831,206710,136221,70488,258033,208376,49657
2019Oct,-47448,-68338,20890,206481,135568,70914,253929,203906,50023
2019Nov,-43793,-64794,21001,207701,136370,71331,251494,201165,50330
2019Dec,-48613,-69652,21038,209476,137784,71692,258089,207436,50653
