Year,USDCNY,EURUSD
8/1/2014,6.1433,1.3133
9/1/2014,6.1385,1.2632
10/1/2014,6.1127,1.2525
11/1/2014,6.1432,1.2452
12/1/2014,6.2061,1.2099
1/1/2015,6.25,1.1288
2/1/2015,6.2696,1.1196
3/1/2015,6.1995,1.0731
4/1/2015,6.2028,1.1224
5/1/2015,6.1983,1.0988
6/1/2015,6.201,1.1138
7/1/2015,6.2097,1.0988
8/1/2015,6.3764,1.1215
9/1/2015,6.3571,1.1177
10/1/2015,6.3181,1.1005
11/1/2015,6.3982,1.0564
12/1/2015,6.4936,1.086
1/1/2016,6.5761,1.0837
2/1/2016,6.554,1.0873
3/1/2016,6.449,1.138
4/1/2016,6.4741,1.1456
5/1/2016,6.5829,1.1132
6/1/2016,6.648,1.1105
7/1/2016,6.6373,1.1174
8/1/2016,6.6793,1.1158
9/1/2016,6.6716,1.1241
10/1/2016,6.7758,1.0981
11/1/2016,6.8868,1.0588
12/1/2016,6.945,1.0516
1/1/2017,6.8816,1.0798
2/1/2017,6.8678,1.0577
3/1/2017,6.8871,1.0652
4/1/2017,6.8935,1.0897
5/1/2017,6.8101,1.1243
6/1/2017,6.7809,1.1426
7/1/2017,6.7265,1.1842
8/1/2017,6.5899,1.191
9/1/2017,6.6534,1.1814
10/1/2017,6.6349,1.1646
11/1/2017,6.6128,1.1904
12/1/2017,6.5066,1.1998
1/1/2018,6.2888,1.2421
2/1/2018,6.3311,1.2194
3/1/2018,6.2753,1.2323
4/1/2018,6.3332,1.2079
5/1/2018,6.4103,1.1692
6/1/2018,6.621,1.1685
7/1/2018,6.8127,1.1691
8/1/2018,6.8315,1.1601
9/1/2018,6.8689,1.1609
10/1/2018,6.9756,1.1312
11/1/2018,6.9605,1.1317
12/1/2018,6.8785,1.147
1/1/2019,6.7008,1.1446
2/1/2019,6.6941,1.1371
3/1/2019,6.712,1.1218
4/1/2019,6.7349,1.1217
5/1/2019,6.905,1.1169
6/1/2019,6.8668,1.137
7/1/2019,6.8841,1.1076
8/1/2019,7.1568,1.0991
9/1/2019,7.1483,1.09
10/1/2019,7.0395,1.1152
11/1/2019,7.0316,1.102
12/1/2019,6.9857,1.12023
1/1/2020,6.9357,1.102913
2/1/2020,6.9909,1.103
3/1/2020,7.0992,1.103047
4/1/2020,7.0754,1.087725
5/1/2020,7.1363,1.111
6/1/2020,7.1363,1.111852
6/2/2020,7.0992,1.117943
