Date,Open,High,Low,Close,Adj Close,Volume
2006-04-01,8.007500,8.014000,7.992000,8.003900,8.003900,0
2006-05-01,8.003900,8.022000,7.976500,8.014000,8.014000,0
2006-06-01,8.014000,8.014800,7.982500,7.982500,7.982500,0
2006-07-01,7.982500,7.995000,7.956100,7.960000,7.960000,0
2006-08-01,7.960000,7.991500,7.938000,7.944900,7.944900,0
2006-09-01,7.944900,7.946000,7.885500,7.897300,7.897300,0
2006-10-01,7.897300,7.908500,7.867400,7.869000,7.869000,0
2006-11-01,7.869000,7.869000,7.823300,7.823300,7.823300,0
2006-12-01,7.823300,7.823600,7.794500,7.797500,7.797500,0
2007-01-01,7.797500,7.806200,7.758200,7.764800,7.764800,0
2007-02-01,7.764800,7.764800,7.727000,7.728000,7.728000,0
2007-03-01,7.728000,7.740000,7.714000,7.720800,7.720800,0
2007-04-01,7.720800,7.724600,7.695000,7.695500,7.695500,0
2007-05-01,7.695500,7.695500,7.635800,7.637500,7.637500,0
2007-06-01,7.637500,7.660000,7.603500,7.603500,7.603500,0
2007-07-01,7.603500,7.603500,7.544500,7.562500,7.562500,0
2007-08-01,7.562500,7.595500,7.531500,7.535000,7.535000,0
2007-09-01,7.535000,7.546500,7.491500,7.496000,7.496000,0
2007-10-01,7.496000,7.518300,7.454000,7.461500,7.461500,0
2007-11-01,7.461500,7.461500,7.371000,7.388000,7.388000,0
2007-12-01,7.388000,7.403500,7.294100,7.294100,7.294100,0
2008-01-01,7.294100,7.294100,7.173000,7.173000,7.173000,0
2008-02-01,7.173000,7.190500,7.094000,7.101900,7.101900,0
2008-03-01,7.098200,7.103000,7.002200,7.002400,7.002400,0
2008-04-01,7.017000,7.024400,6.973200,6.978500,6.978500,0
2008-05-01,6.991500,6.999000,6.925500,6.932500,6.932500,0
2008-06-01,6.932500,6.936100,6.844400,6.844400,6.844400,0
2008-07-01,6.859000,6.869500,6.800500,6.821500,6.821500,0
2008-08-01,6.836000,6.885000,6.806100,6.825200,6.825200,0
2008-09-01,6.824600,6.840000,6.792600,6.835100,6.835100,0
2008-10-01,6.835100,6.844300,6.773700,6.829500,6.829500,0
2008-11-01,6.829500,6.829500,6.803300,6.815900,6.815900,0
2008-12-01,6.846500,6.877800,6.804500,6.813300,6.813300,0
2009-01-01,6.813300,6.842900,6.803000,6.829700,6.829700,0
2009-02-01,6.829700,6.839000,6.814700,6.828900,6.828900,0
2009-03-01,6.832200,6.835400,6.816400,6.826300,6.826300,0
2009-04-01,6.826300,6.845500,6.809500,6.809500,6.809500,0
2009-05-01,6.809500,6.840000,6.804400,6.818300,6.818300,0
2009-06-01,6.832500,6.837500,6.818300,6.820500,6.820500,0
2009-07-01,6.822500,6.825800,6.820700,6.822100,6.822100,0
2009-08-01,6.821000,6.826400,6.820300,6.821200,6.821200,0
2009-09-01,6.821200,6.821800,6.815700,6.816400,6.816400,0
2009-10-01,6.816500,6.824200,6.814800,6.817500,6.817500,0
2009-11-01,6.818900,6.821700,6.816300,6.817200,6.817200,0
2009-12-01,6.818400,6.833000,6.816600,6.830500,6.830500,0
2010-01-01,6.816900,6.818300,6.816500,6.816900,6.816900,0
2010-02-01,6.817000,6.824000,6.815000,6.816700,6.816700,0
2010-03-01,6.816400,6.819200,6.815400,6.815900,6.815900,0
2010-04-01,6.816200,6.821000,6.813400,6.816000,6.816000,0
2010-05-01,6.816000,6.821600,6.815000,6.818100,6.818100,0
2010-06-01,6.818300,6.823300,6.772000,6.772000,6.772000,0
2010-07-01,6.773000,6.773000,6.759500,6.765200,6.765200,0
2010-08-01,6.765200,6.803700,6.755500,6.793300,6.793300,0
2010-09-01,6.802600,6.805500,6.674000,6.678400,6.678400,0
2010-10-01,6.680000,6.681800,6.631000,6.676500,6.676500,0
2010-11-01,6.669200,6.682900,6.612000,6.650500,6.650500,0
2010-12-01,6.653400,6.668100,6.591600,6.612400,6.612400,0
2011-01-01,6.580000,6.626000,6.571900,6.572500,6.572500,0
2011-02-01,6.581300,6.585300,6.541500,6.563000,6.563000,0
2011-03-01,6.561000,6.567200,6.535500,6.548600,6.548600,0
2011-04-01,6.535500,6.539200,6.481400,6.501000,6.501000,0
2011-05-01,6.480000,6.504000,6.469900,6.473800,6.473800,0
2011-06-01,6.468500,6.483000,6.453900,6.463000,6.463000,0
2011-07-01,6.453900,6.501900,5.857400,6.443000,6.443000,0
2011-08-01,6.425600,6.433700,6.366000,6.380300,6.380300,0
2011-09-01,6.368600,6.402000,6.365000,6.387500,6.387500,0
2011-10-01,6.365000,6.472500,6.335300,6.348800,6.348800,0
2011-11-01,6.345200,6.376400,6.329300,6.365100,6.365100,0
2011-12-01,6.367900,6.371000,6.285000,6.309000,6.309000,0
2012-01-01,6.284000,6.337000,6.282600,6.313600,6.313600,0
2012-02-01,6.313600,6.318800,6.284600,6.298400,6.298400,0
2012-03-01,6.294300,6.342300,6.277000,6.296000,6.296000,0
2012-04-01,6.296000,6.322600,6.276600,6.304200,6.304200,0
2012-05-01,6.286400,6.377700,6.275700,6.350700,6.350700,0
2012-06-01,6.368600,6.377500,6.343700,6.354000,6.354000,0
2012-07-01,6.354000,6.393400,6.336800,6.379600,6.379600,0
2012-08-01,6.361800,6.376700,6.338500,6.350200,6.350200,0
2012-09-01,6.348700,6.359000,6.273800,6.302400,6.302400,0
2012-10-01,6.284800,6.348100,6.227300,6.241900,6.241900,0
2012-11-01,6.237500,6.272700,6.212300,6.231400,6.231400,0
2012-12-01,6.226800,6.258700,6.214200,6.234800,6.234800,0
2013-01-01,6.230600,6.237800,6.203600,6.219500,6.219500,0
2013-02-01,6.217800,6.256500,6.208800,6.226200,6.226200,0
2013-03-01,6.222300,6.298100,6.166000,6.217800,6.217800,0
2013-04-01,6.216100,6.231900,6.146600,6.165200,6.165200,0
2013-05-01,6.165200,6.182100,6.111200,6.120900,6.120900,0
2013-06-01,6.134590,6.231440,6.113600,6.229770,6.229770,0
2013-07-01,6.127600,6.215800,6.115400,6.121700,6.121700,0
2013-08-01,6.118900,6.130000,6.100100,6.109500,6.109500,0
2013-09-01,6.109500,6.168000,6.106200,6.109900,6.109900,0
2013-10-01,6.111500,6.143000,6.070300,6.083800,6.083800,0
2013-11-01,6.085000,6.145000,6.077500,6.083200,6.083200,0
2013-12-01,6.083200,6.115000,6.041300,6.051800,6.051800,0
2014-01-01,6.044000,6.108500,6.031200,6.051000,6.051000,0
2014-02-01,6.051000,6.162100,6.047900,6.118400,6.118400,0
2014-03-01,6.135100,6.226400,6.094400,6.202200,6.202200,0
2014-04-01,6.207200,6.257000,6.178900,6.248100,6.248100,0
2014-05-01,6.249400,6.258500,6.208600,6.248440,6.248440,0
2014-06-01,6.248440,6.257000,6.191600,6.208500,6.208500,0
2014-07-01,6.193800,6.211500,2.201500,6.161500,6.161500,0
2014-08-01,6.164000,6.179500,6.127000,6.133400,6.133400,0
2014-09-01,6.133400,6.170940,6.116000,6.140000,6.140000,0
2014-10-01,6.128500,6.203860,6.098500,6.104500,6.104500,0
2014-11-01,6.147040,6.160670,6.101100,6.129100,6.129100,0
2014-12-01,6.133200,6.223160,6.133200,6.192000,6.192000,0
2015-01-01,6.196100,6.245800,6.177500,6.241000,6.241000,0
2015-02-01,6.250780,6.268020,6.227000,6.249500,6.249500,0
2015-03-01,6.268020,6.268020,6.171400,6.196500,6.196500,0
2015-04-01,6.187500,6.210410,6.180500,6.190200,6.190200,0
2015-05-01,6.191000,6.214600,6.183000,6.191200,6.191200,0
2015-06-01,6.188300,6.203300,6.184600,6.198800,6.198800,0
2015-07-01,6.191000,6.200600,6.190600,6.199700,6.199700,0
2015-08-01,6.199800,6.437400,6.199100,6.378500,6.378500,0
2015-09-01,6.366400,6.376400,6.343900,6.353600,6.353600,0
2015-10-01,6.347100,6.358500,6.308100,6.318720,6.318720,0
2015-11-01,6.308100,6.392640,6.308100,6.385000,6.385000,0
2015-12-01,6.388200,6.484800,6.379500,6.481200,6.481200,0
2016-01-01,6.483700,6.600660,6.483700,6.607200,6.607200,0
2016-02-01,6.566100,6.573760,6.481900,6.530400,6.530400,0
2016-03-01,6.544000,6.544000,6.439000,6.455100,6.455100,0
2016-04-01,6.439000,6.498990,6.439000,6.464100,6.464100,0
2016-05-01,6.475430,6.575400,6.461400,6.573300,6.573300,0
2016-06-01,6.572900,6.644200,6.551800,6.626800,6.626800,0
2016-07-01,6.638100,6.727500,6.627400,6.642300,6.642300,0
2016-08-01,6.642400,6.685000,6.578600,6.680400,6.680400,0
2016-09-01,6.677800,6.731500,6.641700,6.668700,6.668700,0
2016-10-01,6.670700,6.797300,6.630800,6.783400,6.783400,0
2016-11-01,6.775000,6.923500,6.746500,6.897300,6.897300,0
2016-12-01,6.890800,7.481000,6.857400,6.943800,6.943800,0
2017-01-01,6.943800,6.960400,6.827100,6.880700,6.880700,0
2017-02-01,6.878700,6.903800,6.818900,6.870100,6.870100,0
2017-03-01,6.867000,6.924100,6.840500,6.889000,6.889000,0
2017-04-01,6.890300,6.931300,6.761400,6.896900,6.896900,0
2017-05-01,6.911300,6.926200,6.802300,6.855800,6.855800,0
2017-06-01,6.812800,6.853000,6.759300,6.785700,6.785700,0
2017-07-01,6.776500,6.811800,6.714300,6.738900,6.738900,0
2017-08-01,6.725200,6.769900,6.576200,6.595700,6.595700,0
2017-09-01,6.588900,6.683400,6.436000,6.665000,6.665000,0
2017-10-01,6.635600,6.673000,6.564700,6.642400,6.642400,0
2017-11-01,6.634600,6.662100,6.566600,6.608300,6.608300,0
2017-12-01,6.611100,6.635600,6.494000,6.505700,6.505700,0
2018-01-01,6.505700,6.534200,6.280000,6.321100,6.321100,0
2018-02-01,6.289200,6.362400,6.246200,6.316700,6.316700,0
2018-03-01,6.330400,6.361200,6.234200,6.285600,6.285600,0
2018-04-01,6.285600,6.347200,6.254100,6.337000,6.337000,0
2018-05-01,6.331800,6.432600,6.321500,6.418000,6.418000,0
2018-06-01,6.400300,6.639100,6.377600,6.627400,6.627400,0
2018-07-01,6.621500,6.840100,6.590400,6.814900,6.814900,0
2018-08-01,6.811800,6.933800,6.784300,6.843100,6.843100,0
2018-09-01,6.843200,6.891000,6.797500,6.868000,6.868000,0
2018-10-01,6.868000,6.976100,6.858900,6.966300,6.966300,0
2018-11-01,6.974700,6.974800,6.867600,6.941500,6.941500,0
2018-12-01,6.941600,6.959500,6.821800,6.877200,6.877200,0
2019-01-01,6.877600,6.881700,6.686800,6.715500,6.715500,0
2019-02-01,6.699800,6.792600,6.668800,6.686200,6.686200,0
2019-03-01,6.692800,6.738700,6.664800,6.711100,6.711100,0
2019-04-01,6.702100,6.747900,6.677100,6.732400,6.732400,0
2019-05-01,6.733900,6.921300,6.733600,6.900900,6.900900,0
2019-06-01,6.891900,6.934700,6.827100,6.867100,6.867100,0
2019-07-01,6.856800,6.893900,6.831600,6.883600,6.883600,0
2019-08-01,6.883500,7.169200,6.883400,7.143600,7.143600,0
2019-09-01,7.143500,7.183900,7.055800,7.121800,7.121800,0
2019-10-01,7.138400,7.152300,7.029500,7.054400,7.054400,0
2019-11-01,7.038200,7.045000,6.963000,7.031600,7.031600,0
2019-12-01,7.031500,7.072700,6.957500,6.985700,6.985700,0
2020-01-01,6.962300,6.977500,6.839800,6.935700,6.935700,0
2020-02-01,6.935700,7.041500,6.935600,6.990900,6.990900,0
2020-03-01,6.990900,7.124600,6.913300,7.099200,7.099200,0
2020-04-01,7.081400,7.106100,7.028800,7.075400,7.075400,0
2020-05-01,7.061300,7.176900,7.052200,7.136300,7.136300,0
2020-06-01,7.136300,7.138300,7.109900,7.136300,7.136300,0
2020-06-02,7.127700,7.127700,7.095100,7.099200,7.099200,0
