Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS12300000,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Seas) Employment-Population Ratio,,,,,,,,,,,
Labor force status:,Employment-population ratio,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Years:,1948 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1997,63.4,63.4,63.6,63.7,63.8,63.7,63.9,63.9,63.9,63.9,64.1,64.0
1998,64.0,64.0,64.0,64.1,64.1,64.0,64.0,63.9,64.2,64.1,64.2,64.3
1999,64.4,64.2,64.2,64.2,64.3,64.2,64.2,64.2,64.2,64.3,64.4,64.4
2000,64.6,64.6,64.6,64.7,64.4,64.5,64.2,64.2,64.2,64.2,64.3,64.4
2001,64.4,64.3,64.3,64.0,63.8,63.7,63.7,63.2,63.5,63.2,63.0,62.9
2002,62.7,63.0,62.8,62.7,62.9,62.7,62.7,62.7,63.0,62.7,62.5,62.4
2003,62.5,62.5,62.4,62.4,62.3,62.3,62.1,62.1,62.0,62.1,62.3,62.2
2004,62.3,62.3,62.2,62.3,62.3,62.4,62.5,62.4,62.3,62.3,62.5,62.4
2005,62.4,62.4,62.4,62.7,62.8,62.7,62.8,62.9,62.8,62.8,62.7,62.8
2006,62.9,63.0,63.1,63.0,63.1,63.1,63.0,63.1,63.1,63.3,63.3,63.4
2007,63.3,63.3,63.3,63.0,63.0,63.0,62.9,62.7,62.9,62.7,62.9,62.7
2008,62.9,62.8,62.7,62.7,62.5,62.4,62.2,62.0,61.9,61.7,61.4,61.0
2009,60.6,60.3,59.9,59.8,59.6,59.4,59.3,59.1,58.7,58.5,58.6,58.3
2010,58.5,58.5,58.5,58.7,58.6,58.5,58.5,58.6,58.5,58.3,58.2,58.3
2011,58.3,58.4,58.4,58.4,58.3,58.2,58.2,58.3,58.4,58.4,58.6,58.6
2012,58.4,58.5,58.5,58.4,58.5,58.6,58.5,58.4,58.7,58.8,58.7,58.7
2013,58.6,58.6,58.5,58.6,58.6,58.6,58.7,58.7,58.7,58.3,58.6,58.7
2014,58.8,58.7,58.9,58.9,58.9,59.0,59.0,59.0,59.1,59.3,59.2,59.3
2015,59.3,59.2,59.2,59.3,59.4,59.4,59.3,59.4,59.2,59.3,59.4,59.6
2016,59.7,59.7,59.8,59.7,59.7,59.7,59.7,59.8,59.8,59.7,59.7,59.8
2017,59.9,59.9,60.1,60.2,60.1,60.1,60.1,60.1,60.4,60.1,60.1,60.1
2018,60.2,60.4,60.4,60.4,60.5,60.5,60.5,60.3,60.4,60.5,60.5,60.6
2019,60.7,60.7,60.6,60.6,60.6,60.7,60.7,60.9,61.0,61.0,61.0,61.0
2020,61.2,61.1,60.0,51.3,,,,,,,,
